report_date,search_vertical,search_query,control_searches,treatment_searches,control_ctr,treatment_ctr,control_cvr,treatment_cvr,ctr_pct_change,cvr_pct_change,ctr_stat_sig,cvr_stat_sig,control_avg_click_rank,treatment_avg_click_rank,control_zrr,treatment_zrr,zrr_pct_change,treatment_traffic_pct
2026-06-03,BAEMIN_DELIVERY,이삭토스트,3700,3685,0.69,0.6754,0.0678,0.0719,-2.12,6.05,No,No,0.26,0.31,0.0014,8.0E-4,-42.86,49.9
2026-06-03,ALL,마라탕,3647,3646,0.5591,0.5601,0.2158,0.2244,0.18,3.99,No,No,1.01,0.97,0.0,0.0,,50.0
2026-06-03,ALL,냉면,3650,3544,0.5014,0.5042,0.1737,0.1823,0.56,4.95,No,No,1.03,1.03,0.0,0.0,,49.3
2026-06-03,ALL,이삭토스트,3590,3457,0.756,0.7472,0.1162,0.1273,-1.16,9.55,No,No,0.2,0.34,0.0,0.0,,49.1
2026-06-03,BAEMIN_DELIVERY,냉면,3524,3283,0.6132,0.6168,0.2125,0.2157,0.59,1.51,No,No,4.37,4.17,9.0E-4,0.0,-100.0,48.2
2026-06-03,ALL,맘스터치,3009,3023,0.775,0.7562,0.1891,0.1674,-2.43,-11.48,No,Yes,0.48,0.5,0.0,0.0,,50.1
2026-06-03,ALL,엽기떡볶이,3017,2741,0.7975,0.7869,0.2628,0.2532,-1.33,-3.65,No,No,0.27,0.33,0.0,0.0,,47.6
2026-06-03,ALL,피자,2667,2441,0.4361,0.4433,0.1496,0.1536,1.65,2.67,No,No,1.21,1.14,0.0,0.0,,47.8
2026-06-03,BAEMIN_DELIVERY,마라탕,2310,2250,0.6489,0.6449,0.2481,0.2436,-0.62,-1.81,No,No,2.6,2.66,0.0035,9.0E-4,-74.29,49.3
2026-06-03,ALL,롯데리아,2206,2135,0.8119,0.8145,0.301,0.3124,0.32,3.79,No,No,0.18,0.19,9.0E-4,0.0014,55.56,49.2
2026-06-03,ALL,맥도날드,2155,2122,0.7893,0.779,0.2724,0.2729,-1.3,0.18,No,No,0.04,0.08,0.0,0.0,,49.6
2026-06-03,ALL,설빙,2041,2172,0.7947,0.7776,0.2362,0.2196,-2.15,-7.03,No,No,0.34,0.34,0.0,0.0,,51.6
2026-06-03,BAEMIN_DELIVERY,피자,2078,2035,0.6323,0.6,0.2271,0.2187,-5.11,-3.7,Yes,No,5.62,4.79,5.0E-4,0.0015,200.0,49.5
2026-06-03,ALL,김밥,1908,1876,0.4387,0.4376,0.1326,0.1162,-0.25,-12.37,No,No,1.24,1.13,0.0,0.0,,49.6
2026-06-03,ALL,족발,1868,1901,0.5182,0.5192,0.1697,0.1762,0.19,3.83,No,No,1.03,1.09,0.0,0.0,,50.4
2026-06-03,BAEMIN_DELIVERY,김밥,1831,1911,0.6516,0.6567,0.1824,0.1675,0.78,-8.17,No,No,5.19,5.06,0.0011,0.0016,45.45,51.1
2026-06-03,ALL,굽네치킨,1875,1783,0.5104,0.4874,0.1371,0.1374,-4.51,0.22,No,No,0.56,0.55,0.0,0.0,,48.7
2026-06-03,ALL,메가커피,1858,1781,0.6878,0.7019,0.1814,0.1875,2.05,3.36,No,No,0.76,0.74,0.0,0.0,,48.9
2026-06-03,ALL,치킨,1873,1681,0.3401,0.3427,0.0721,0.1047,0.76,45.21,No,Yes,1.33,1.35,0.0,0.0,,47.3
2026-06-03,ALL,교촌치킨,1784,1756,0.7528,0.7682,0.2382,0.2563,2.05,7.6,No,No,0.5,0.48,0.0,0.0,,49.6
2026-06-03,ALL,서브웨이,1675,1722,0.8006,0.8269,0.2561,0.2485,3.29,-2.97,Yes,No,0.24,0.25,0.0,0.0,,50.7
2026-06-03,ALL,빙수,1649,1635,0.5518,0.5388,0.1292,0.126,-2.36,-2.48,No,No,1.06,1.02,0.0,0.0,,49.8
2026-06-03,ALL,초밥,1537,1591,0.512,0.5167,0.1249,0.1238,0.92,-0.88,No,No,1.04,1.02,0.0,0.0,,50.9
2026-06-03,BAEMIN_DELIVERY,치킨,1605,1450,0.5782,0.5786,0.1601,0.1655,0.07,3.37,No,No,8.2,8.25,6.0E-4,0.0021,250.0,47.5
2026-06-03,BAEMIN_DELIVERY,떡볶이,1510,1506,0.6159,0.6335,0.1669,0.1607,2.86,-3.71,No,No,6.43,7.28,7.0E-4,0.002,185.71,49.9
