report_date,search_vertical,search_query,control_searches,treatment_searches,control_ctr,treatment_ctr,control_cvr,treatment_cvr,ctr_pct_change,cvr_pct_change,ctr_stat_sig,cvr_stat_sig,control_avg_click_rank,treatment_avg_click_rank,control_zrr,treatment_zrr,zrr_pct_change,treatment_traffic_pct
2026-06-03,BAEMIN_DELIVERY,이삭토스트,3699,3685,0.6902,0.6754,0.0679,0.0719,-2.14,5.89,No,No,0.26,0.31,0.0014,8.0E-4,-42.86,49.9
2026-06-03,ALL,마라탕,3650,3646,0.5595,0.5601,0.2159,0.2244,0.11,3.94,No,No,1.01,0.97,0.0,0.0,,50.0
2026-06-03,ALL,냉면,3648,3544,0.5011,0.5042,0.1741,0.1823,0.62,4.71,No,No,1.03,1.03,0.0,0.0,,49.3
2026-06-03,ALL,이삭토스트,3591,3457,0.7561,0.7472,0.1161,0.1273,-1.18,9.65,No,No,0.2,0.34,0.0,0.0,,49.0
2026-06-03,BAEMIN_DELIVERY,냉면,3524,3283,0.6132,0.6168,0.2125,0.2157,0.59,1.51,No,No,4.37,4.17,9.0E-4,0.0,-100.0,48.2
2026-06-03,ALL,맘스터치,3005,3023,0.7747,0.7562,0.1887,0.1674,-2.39,-11.29,No,Yes,0.48,0.5,0.0,0.0,,50.1
2026-06-03,ALL,엽기떡볶이,3015,2741,0.7973,0.7869,0.263,0.2532,-1.3,-3.73,No,No,0.27,0.33,0.0,0.0,,47.6
2026-06-03,ALL,피자,2669,2441,0.4365,0.4433,0.1495,0.1536,1.56,2.74,No,No,1.21,1.14,0.0,0.0,,47.8
2026-06-03,BAEMIN_DELIVERY,마라탕,2310,2250,0.6489,0.6449,0.2481,0.2436,-0.62,-1.81,No,No,2.6,2.66,0.0035,9.0E-4,-74.29,49.3
2026-06-03,ALL,롯데리아,2205,2135,0.8118,0.8145,0.3007,0.3124,0.33,3.89,No,No,0.18,0.19,9.0E-4,0.0014,55.56,49.2
2026-06-03,ALL,맥도날드,2156,2122,0.7894,0.779,0.2727,0.2729,-1.32,0.07,No,No,0.04,0.08,0.0,0.0,,49.6
2026-06-03,ALL,설빙,2039,2171,0.7945,0.7775,0.2359,0.2197,-2.14,-6.87,No,No,0.34,0.34,0.0,0.0,,51.6
2026-06-03,BAEMIN_DELIVERY,피자,2078,2035,0.6323,0.6,0.2271,0.2187,-5.11,-3.7,Yes,No,5.62,4.79,5.0E-4,0.0015,200.0,49.5
2026-06-03,ALL,김밥,1907,1876,0.4384,0.4376,0.1332,0.1162,-0.18,-12.76,No,No,1.24,1.13,0.0,0.0,,49.6
2026-06-03,ALL,족발,1869,1901,0.5185,0.5192,0.1696,0.1762,0.14,3.89,No,No,1.03,1.09,0.0,0.0,,50.4
2026-06-03,BAEMIN_DELIVERY,김밥,1831,1911,0.6516,0.6567,0.1824,0.1675,0.78,-8.17,No,No,5.19,5.06,0.0011,0.0016,45.45,51.1
2026-06-03,ALL,굽네치킨,1874,1783,0.5101,0.4874,0.1371,0.1374,-4.45,0.22,No,No,0.56,0.55,0.0,0.0,,48.8
2026-06-03,ALL,메가커피,1859,1781,0.688,0.7019,0.1824,0.1875,2.02,2.8,No,No,0.76,0.74,0.0,0.0,,48.9
2026-06-03,ALL,치킨,1873,1681,0.3401,0.3427,0.0721,0.1047,0.76,45.21,No,Yes,1.32,1.35,0.0,0.0,,47.3
2026-06-03,ALL,교촌치킨,1784,1756,0.7528,0.7682,0.2388,0.2563,2.05,7.33,No,No,0.5,0.48,0.0,0.0,,49.6
2026-06-03,ALL,서브웨이,1677,1722,0.8008,0.8269,0.2564,0.2485,3.26,-3.08,No,No,0.24,0.25,0.0,0.0,,50.7
2026-06-03,ALL,빙수,1649,1636,0.5518,0.5391,0.1292,0.1259,-2.3,-2.55,No,No,1.06,1.02,0.0,0.0,,49.8
2026-06-03,ALL,초밥,1537,1591,0.512,0.5167,0.1249,0.1238,0.92,-0.88,No,No,1.04,1.02,0.0,0.0,,50.9
2026-06-03,BAEMIN_DELIVERY,치킨,1605,1450,0.5782,0.5786,0.1601,0.1655,0.07,3.37,No,No,8.2,8.25,6.0E-4,0.0021,250.0,47.5
2026-06-03,BAEMIN_DELIVERY,떡볶이,1510,1506,0.6159,0.6335,0.1669,0.1607,2.86,-3.71,No,No,6.43,7.28,7.0E-4,0.002,185.71,49.9
2026-06-03,ALL,요아정,1438,1472,0.7371,0.7704,0.1989,0.2188,4.52,10.01,Yes,No,0.45,0.47,0.0,0.0,,50.6
2026-06-03,BAEMIN_DELIVERY,빙수,1433,1452,0.6685,0.6915,0.1745,0.1832,3.44,4.99,No,No,3.6,4.09,7.0E-4,0.0,-100.0,50.3
2026-06-03,ALL,떡볶이,1499,1385,0.3923,0.3697,0.0941,0.0866,-5.76,-7.97,No,No,1.3,1.24,0.0,0.0,,48.0
2026-06-03,BAEMIN_DELIVERY,맘스터치,1462,1420,0.7784,0.7599,0.2244,0.2246,-2.38,0.09,No,No,0.73,0.77,0.0041,0.0035,-14.63,49.3
